"implementation","run","exit_code","wall_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","peak_handles","process_start_ns","first_paint_ns","first_paint_uptime_ms","stress_label_ns","stress_button_ns","stress_list_ns","stress_input_ns","stress_total_ns","stress_cpu_ns","stress_allocated_bytes","refresh_count","sustained_ns","sustained_cpu_ns","sustained_allocated_bytes","sustained_frames","sustained_fps_x100","frame_p50_us","frame_p95_us","frame_p99_us","frame_max_us","jank_frames","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","startup_to_first_paint_ms"
"javafx","1","0","9113.6","260820992","207934678","530571264","562","170919138015000","170920020580100","1573","8087000","20181500","31513300","179210300","238992200","906250000","10104360","500","5889521200","6171875000","35942848","600","10187","9293","16346","17501","62967","2","2","9","52441600","264241152","31750024","3917","96207944","10000000000","3772","15","15","11105464","882.6"
"jxparallel-native","1","0","7392.5","166195200","145736285","421621760","535","170927963378400","170928714197300","879","24423800","11114800","15671600","6275500","57485800","218750000","9722872","500","5645934300","1906250000","5445816","600","10627","8475","17162","18158","19117","0","1","5","20971520","264241152","10448592","91553","25596672","3343750000","1649","11","11","2260456","750.8"
"javafx","2","0","9035.1","258744320","204653600","522690560","562","170935969303300","170936718845800","1403","6751500","19864800","22523000","170890200","220029700","968750000","10100648","500","6040092700","6000000000","35984216","600","9933","9624","16405","24231","53191","4","2","11","52489728","264241152","31552016","3709","96210616","9265625000","3772","15","15","11074552","749.5"
"jxparallel-native","2","0","7694.3","167555072","147662367","422379520","534","170944449345100","170945171029600","847","25104800","8433600","17725400","8916400","60180300","296875000","9725528","500","6024871300","1546875000","5501848","600","9958","8669","17288","18518","24708","0","1","6","20971520","264241152","10386640","91553","25647784","3046875000","1650","11","11","2247584","721.7"
"javafx","3","0","8840.6","257421312","202095773","522768384","567","170952863264900","170953548899000","1429","13360900","14244000","24985200","194717900","247308100","1187500000","10105976","500","5785548900","6703125000","35872056","600","10370","9056","16383","17292","69331","3","2","12","52294656","264241152","31743736","3917","96103560","10218750000","3772","15","15","11078712","685.6"
"jxparallel-native","3","0","7700.8","167305216","144936642","424255488","533","170961277619100","170961936135700","772","30042100","10906200","21685500","8178100","70812100","218750000","9727928","500","5905825400","2109375000","5486760","600","10159","8788","17372","18560","22400","0","1","7","20971520","264241152","10385480","91553","25618544","3406250000","1650","11","11","2277920","658.5"
"javafx","4","0","9027.8","260673536","208775291","524279808","567","170969462822200","170970267835500","1494","11572500","17302200","30392400","173010400","232277600","921875000","10098344","500","6012924200","6375000000","36001952","600","9978","9458","16469","17777","45377","3","2","10","52474880","264241152","31496040","3709","96247472","9765625000","3772","15","15","11184320","805"
"jxparallel-native","4","0","7752.4","167604224","146205455","421588992","534","170978097362700","170978809690900","832","46421100","20939200","13725700","5206600","86292700","218750000","9730072","500","5979933800","1625000000","5473888","600","10033","8717","17169","17839","21405","0","1","4","20971520","264241152","10441328","91553","25626904","2906250000","1650","11","11","2244712","712.3"
"javafx","5","0","9128.7","263708672","210004678","530157568","562","170986481030400","170987310896900","1537","15135800","25034200","42960100","214302000","297432700","1203125000","10114384","500","5888989400","6625000000","35879280","600","10188","9244","16441","17867","47674","3","2","12","50358784","264241152","31701824","3709","96138688","10562500000","3772","15","15","11075744","829.9"
"jxparallel-native","5","0","7560","167981056","146901312","422469632","534","170995120719200","170995840857800","859","31416200","15817700","11263200","8399400","66896700","250000000","9727672","500","5782560200","1781250000","5446608","600","10376","8564","17013","18248","18551","0","1","4","20971520","264241152","10377088","91553","25594600","3140625000","1648","11","11","2266832","720.1"
