"metric","javafx","jxparallel-native"
"exit_code","0","0"
"wall_ms","23591","25712"
"peak_working_set_bytes","248795136","163364864"
"avg_working_set_bytes","216495544","152123392"
"peak_private_bytes","515993600","421216256"
"peak_handles","543","514"
"process_start_ns","179529873529200","179553216076000"
"first_paint_ns","179530811380800","179553717048700"
"first_paint_uptime_ms","1447","1016"
"stress_label_ns","7088700","12736700"
"stress_button_ns","10309200","7451200"
"stress_list_ns","16279500","11473900"
"stress_input_ns","137779200","6376800"
"stress_total_ns","173334400","39428200"
"stress_cpu_ns","812500000","218750000"
"stress_allocated_bytes","10084040","9723128"
"refresh_count","500","500"
"sustained_ns","19942061600","23807400900"
"sustained_cpu_ns","6031250000","3187500000"
"sustained_allocated_bytes","39013816","8238088"
"sustained_frames","600","600"
"sustained_fps_x100","3008","2520"
"frame_p50_us","32000","44960"
"frame_p95_us","32960","46906"
"frame_p99_us","48215","47527"
"frame_max_us","544146","542291"
"jank_frames","594","599"
"gc_count","2","1"
"gc_time_ms","8","4"
"heap_peak_bytes","54595072","20971520"
"heap_committed_peak_bytes","264241152","264241152"
"nonheap_peak_bytes","31787792","10480208"
"direct_peak_bytes","3917","91553"
"allocated_total_bytes","99252304","28367536"
"process_cpu_total_ns","8718750000","4546875000"
"classes_loaded","3772","1638"
"thread_count","15","11"
"thread_peak","15","11"
"heap_live_after_gc_bytes","11071136","2260048"
"startup_to_first_paint_ms","738.2","924.8"
