"implementation","run","exit_code","wall_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","peak_handles","process_start_ns","first_paint_ns","first_paint_uptime_ms","stress_label_ns","stress_button_ns","stress_list_ns","stress_input_ns","stress_total_ns","stress_cpu_ns","stress_allocated_bytes","refresh_count","sustained_ns","sustained_cpu_ns","sustained_allocated_bytes","sustained_frames","sustained_fps_x100","frame_p50_us","frame_p95_us","frame_p99_us","frame_max_us","jank_frames","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","startup_to_first_paint_ms","renderer_nanovg","jvm_32bit"
"javafx","1","0","8306","259022848","200975111","523223040","562","216764449183100","216765294021800","1881","14675000","10459300","25390700","183676000","234201300","906250000","10100560","500","5071905500","6140625000","35785776","600","11829","8366","14972","16015","50253","1","2","12","50331648","264241152","31589352","3917","96086752","9890625000","3776","15","15","11079736","844.8",,
"jxparallel-native","1","0","6776.9","166084608","146155218","422313984","531","216771970836200","216772774565000","919","52362000","33305800","51409900","9325500","146403300","375000000","9570944","500","5050340200","1890625000","5157776","600","11880","8296","9911","13004","33202","1","1","5","20971520","264241152","10234008","91553","25027544","3593750000","1602","11","11","2251320","803.7","0","0"
"javafx","2","0","8040.4","259547136","208146005","525074432","537","216779434649200","216780276942500","1562","15224700","20272100","33291100","186943000","255731100","1031250000","10104296","500","5106842600","6437500000","35779152","600","11748","8370","14671","16010","54995","2","2","13","52483584","264241152","31729712","3709","96092936","10468750000","3776","15","15","11113336","842.3",,
"jxparallel-native","2","0","6666.5","167849984","147205559","421801984","532","216786944321100","216787693503900","844","17622600","9172500","30000300","30439400","87234900","328125000","9599808","500","5053850800","1437500000","5242224","600","11872","8323","10072","12574","40421","1","1","6","20971520","264241152","10168312","91553","25128824","3187500000","1603","11","11","2262816","749.2","0","0"
"javafx","3","0","7987.8","262832128","208708077","526561280","564","216794286168300","216795059556500","1494","11790700","15161100","25986200","187252800","240191000","1046875000","10104632","500","5120957200","6781250000","35543824","600","11716","8267","14585","16011","60161","2","2","11","52428800","264241152","31087960","2597","95842176","10500000000","3765","15","15","11090152","773.4",,
"jxparallel-native","3","0","6697.2","173015040","146131703","437993472","531","216801723340000","216802434397400","800","49721400","22281200","46565400","29899700","148467800","250000000","9529544","500","5070326300","1750000000","5166992","600","11833","8337","9798","12859","67411","1","1","3","20971520","264241152","10143624","91553","24979792","3171875000","1603","11","11","2159416","711.1","0","0"
"javafx","4","0","7824.4","263991296","213925452","527699968","564","216808995156700","216809692898500","1335","10115000","16809400","22525700","230751300","280201600","1125000000","10111032","500","5114108000","7156250000","35522872","600","11732","8339","14461","16475","51420","2","2","11","50344448","264241152","31029896","2597","95811728","10562500000","3765","15","15","11059992","697.7",,
"jxparallel-native","4","0","6654.3","170106880","150119594","422268928","533","216816375952800","216817123964900","840","14847800","9750700","17489700","13896700","55985000","312500000","9594904","500","5051765300","1406250000","5258480","600","11877","8312","10210","13420","25271","1","1","5","20971520","264241152","10139336","91553","25138944","2984375000","1603","11","11","2260256","748","0","0"
"javafx","5","0","7949.1","259457024","209565111","524812288","542","216823563291500","216824298653200","1349","16845300","20246300","35401500","236421700","308914900","1203125000","10112264","500","5179907700","7406250000","35821016","600","11583","8418","14714","16005","73284","2","2","13","52783104","264241152","31883072","3342","96122192","11453125000","3776","15","15","11109424","735.4",,
"jxparallel-native","5","0","7060","165146624","145332212","421351424","532","216831032917200","216831673347800","734","14035300","10096100","16102900","8967000","49201400","234375000","9595160","500","5565904800","2328125000","5351840","600","10779","8625","16674","25409","39112","6","1","26","20971520","264241152","10177928","91553","25220032","3718750000","1602","11","11","2216384","640.4","0","0"
