"metric","javafx","jxparallel-native"
"exit_code","0","0"
"wall_ms","7987.8","6697.2"
"peak_working_set_bytes","259547136","167849984"
"avg_working_set_bytes","208708077","146155218"
"peak_private_bytes","525074432","422268928"
"peak_handles","562","532"
"process_start_ns","216794286168300","216801723340000"
"first_paint_ns","216795059556500","216802434397400"
"first_paint_uptime_ms","1494","840"
"stress_label_ns","14675000","17622600"
"stress_button_ns","16809400","10096100"
"stress_list_ns","25986200","30000300"
"stress_input_ns","187252800","13896700"
"stress_total_ns","255731100","87234900"
"stress_cpu_ns","1046875000","312500000"
"stress_allocated_bytes","10104632","9594904"
"refresh_count","500","500"
"sustained_ns","5114108000","5053850800"
"sustained_cpu_ns","6781250000","1750000000"
"sustained_allocated_bytes","35779152","5242224"
"sustained_frames","600","600"
"sustained_fps_x100","11732","11872"
"frame_p50_us","8366","8323"
"frame_p95_us","14671","10072"
"frame_p99_us","16011","13004"
"frame_max_us","54995","39112"
"jank_frames","2","1"
"gc_count","2","1"
"gc_time_ms","12","5"
"heap_peak_bytes","52428800","20971520"
"heap_committed_peak_bytes","264241152","264241152"
"nonheap_peak_bytes","31589352","10168312"
"direct_peak_bytes","3342","91553"
"allocated_total_bytes","96086752","25128824"
"process_cpu_total_ns","10500000000","3187500000"
"classes_loaded","3776","1603"
"thread_count","15","11"
"thread_peak","15","11"
"heap_live_after_gc_bytes","11090152","2251320"
"startup_to_first_paint_ms","773.4","748"
"renderer_nanovg",,"0"
"jvm_32bit",,"0"
