"implementation","run","exit_code","wall_ms","peak_working_set_bytes","avg_working_set_bytes","peak_private_bytes","peak_handles","process_start_ns","first_paint_ns","first_paint_uptime_ms","stress_label_warm_ns","stress_label_ns","stress_button_ns","stress_list_ns","stress_input_ns","stress_total_ns","stress_cpu_ns","stress_allocated_bytes","refresh_count","sustained_ns","sustained_cpu_ns","sustained_allocated_bytes","sustained_frames","sustained_fps_x100","frame_p50_us","frame_p95_us","frame_p99_us","frame_max_us","jank_frames","gc_count","gc_time_ms","heap_peak_bytes","heap_committed_peak_bytes","nonheap_peak_bytes","direct_peak_bytes","allocated_total_bytes","process_cpu_total_ns","classes_loaded","thread_count","thread_peak","heap_live_after_gc_bytes","startup_to_first_paint_ms","renderer_nanovg","jvm_32bit"
"javafx","1","0","8425.6","264024064","209235502","528588800","567","226705546611800","226706449799800","1636","3768900","13111700","19725900","27170500","204867000","264875500","1265625000","10412176","500","5087151700","6156250000","35791880","600","11794","8343","14623","15886","56915","2","2","18","52141776","264241152","31906240","3917","96419784","10484375000","3776","15","15","11079840","903.2",,
"jxparallel-native","1","0","6725.3","161665024","140266061","439177216","522","226713380276500","226714142892800","887","2588800","10667000","7698900","11284700","7741700","37392400","265625000","5512176","500","4984467000","1703125000","5010664","600","12037","8275","9888","11494","13255","0","0","0","20971520","264241152","10311224","91553","20905008","3109375000","1609","11","11","2199104","762.6","0","0"
"javafx","2","0","8184.3","256212992","199835878","517255168","568","226720756009100","226721543841400","1508","4482200","7557000","14843700","23268800","173385700","219055300","1015625000","10401352","500","5070016300","6984375000","35804248","600","11834","8300","14596","15658","58516","1","2","11","52455936","264241152","31940424","3709","96396024","10296875000","3776","15","15","11180776","787.8",,
"jxparallel-native","2","0","6707.5","161730560","138935645","422117376","516","226728516923700","226729234182200","884","3150900","13725600","5171800","10584800","3736500","33218800","171875000","5512096","500","4988368600","1828125000","4977736","600","12027","8324","10185","11202","12964","0","0","0","20971520","264241152","10356808","91553","20860032","3109375000","1610","11","11","2199560","717.3","0","0"
"javafx","3","0","8018.3","262434816","205421819","526573568","568","226735858487400","226736581696000","1422","2181700","7444300","16722000","26836200","183791200","234793900","1125000000","10402912","500","5067101500","6218750000","35791160","600","11841","8219","14625","15717","48233","2","2","21","52214568","264241152","31847288","3917","96392856","9984375000","3776","15","15","11081560","723.2",,
"jxparallel-native","3","0","6716.1","164122624","136763753","421666816","523","226743359700300","226744127354500","888","2024500","10155300","8601600","11735100","4919900","35412100","250000000","5512096","500","4988668300","2171875000","5008632","600","12027","8288","10455","11678","13112","0","0","0","20971520","264241152","10271024","91553","20900824","3640625000","1609","11","11","2199984","767.7","0","0"
"javafx","4","0","8336.3","260079616","206607858","525357056","568","226750754256400","226751688447400","1687","2010400","11903900","18042300","31500100","179021700","240468400","1031250000","10408728","500","5053671500","6109375000","35827880","600","11872","8288","14820","16040","44488","2","2","11","52130336","264241152","31771288","3917","96451560","9859375000","3776","15","15","11075760","934.2",,
"jxparallel-native","4","0","6850.9","168407040","136361066","439345152","531","226758546725500","226759449961600","1057","3463800","11541800","6848200","9005900","2461800","29857900","171875000","5512176","500","4990579000","1765625000","4977864","600","12022","8275","9998","12208","13227","0","0","0","20971520","264241152","10345464","91553","20882232","3078125000","1609","11","11","2199920","903.2","0","0"
"javafx","5","0","8148.1","262057984","206084105","528494592","562","226765973305000","226766841739400","1568","3338300","10267400","12624400","38915900","158859100","220667300","984375000","10401968","500","5062993700","6515625000","35786096","600","11850","8278","14620","16281","60724","2","2","11","54095176","264241152","31767224","3917","96397976","10093750000","3776","15","15","11091432","868.4",,
"jxparallel-native","5","0","6840.4","160382976","137636777","420646912","517","226773758374900","226774523205200","958","2521900","9070600","7878400","12236000","3213200","32398400","171875000","5517040","500","4983423300","1640625000","5009200","600","12039","8294","9795","10674","11132","0","0","0","20971520","264241152","10319584","91553","20903280","2906250000","1609","11","11","2200104","764.8","0","0"
