"metric","javafx","jxparallel-native"
"exit_code","0","0"
"wall_ms","7404.4","6612.5"
"peak_working_set_bytes","102109184","93884416"
"avg_working_set_bytes","85679668","82706558"
"peak_private_bytes","102105088","67846144"
"peak_handles","508","457"
"process_start_ns","226880793074600","226888010372000"
"first_paint_ns","226881289049300","226888679577500"
"first_paint_uptime_ms","855","761"
"stress_label_warm_ns","2568200","929500"
"stress_label_ns","11409700","10279900"
"stress_button_ns","10899200","6063100"
"stress_list_ns","9453800","5338200"
"stress_input_ns","112939400","4102100"
"stress_total_ns","146996600","25163600"
"stress_cpu_ns","328125000","46875000"
"stress_allocated_bytes","7784816","5286080"
"refresh_count","500","500"
"sustained_ns","5069757100","5024512400"
"sustained_cpu_ns","2484375000","828125000"
"sustained_allocated_bytes","25681320","3694976"
"sustained_frames","600","600"
"sustained_fps_x100","11825","11930"
"frame_p50_us","8270","8308"
"frame_p95_us","15051","10435"
"frame_p99_us","16279","12373"
"frame_max_us","31087","23642"
"jank_frames","1","0"
"gc_count","12","4"
"gc_time_ms","31","8"
"heap_peak_bytes","11571384","6758912"
"heap_committed_peak_bytes","16252928","16252928"
"nonheap_peak_bytes","12669976","6601712"
"direct_peak_bytes","2621","82656"
"allocated_total_bytes","58162424","18626208"
"process_cpu_total_ns","3750000000","1562500000"
"classes_loaded","2811","1243"
"thread_count","12","8"
"thread_peak","12","8"
"heap_live_after_gc_bytes","7949568","2207440"
"startup_to_first_paint_ms","471.1","649.1"
"renderer_nanovg",,"1"
"jvm_32bit",,"1"
